Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,Second,James Willcox,3,18,LOST,41,19,60,60,40,41,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,Second,Jono Harding,4,24,LOST,43,60,135,41,44,100,62,8,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,First,James Willcox,4,26,WON,44,41,41,50,60,95,46,56,68,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,First,Jono Harding,5,27,LOST,21,43,43,58,40,100,60,88,28,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,Second,James Willcox,5,27,WON,70,45,32,81,60,59,44,80,30,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,Second,Jono Harding,6,15,WON,140,100,57,134,70,,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,First,James Willcox,6,15,LOST,22,41,35,45,9,,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Oscar King,First,Charlie Hardie,1,16,WON,121,81,99,85,95,20,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Charlie Hardie,Second,Oscar King,1,15,LOST,40,45,40,52,55,,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Oscar King,Second,Charlie Hardie,2,22,WON,78,41,55,81,45,100,61,40,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Charlie Hardie,First,Oscar King,2,24,LOST,43,57,79,95,64,41,54,36,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Oscar King,First,Charlie Hardie,3,20,WON,81,100,100,75,53,33,59,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Charlie Hardie,Second,Oscar King,3,18,LOST,83,38,79,29,40,25,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Oscar King,Second,Charlie Hardie,4,18,LOST,59,80,100,60,60,94,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Charlie Hardie,First,Oscar King,4,21,WON,45,83,81,76,39,93,84,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Oscar King,First,Charlie Hardie,5,22,WON,81,100,100,100,85,19,0,16,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ntpbWoIsEVe,Charlie Hardie,Second,Oscar King,5,21,LOST,60,100,57,40,125,74,29,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,Second,Paul Tudor,1,21,WON,60,85,23,76,140,93,24,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,First,Shane Edwards,1,21,LOST,81,41,60,45,60,40,41,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,First,Paul Tudor,2,24,WON,55,95,100,55,26,90,40,40,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,Second,Shane Edwards,2,21,LOST,100,34,45,45,87,41,40,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,Second,Paul Tudor,3,18,LOST,100,140,48,45,70,86,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,First,Shane Edwards,3,20,WON,81,100,85,100,31,44,60,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,First,Paul Tudor,4,21,LOST,44,58,140,95,57,50,47,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,Second,Shane Edwards,4,19,WON,58,53,83,64,97,130,16,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,Second,Paul Tudor,5,18,LOST,42,45,60,40,40,59,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,First,Shane Edwards,5,20,WON,59,37,60,57,96,140,52,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Shane Edwards,First,Paul Tudor,6,24,LOST,77,100,60,92,100,52,15,3,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WaT91caD1zyT,Paul Tudor,Second,Shane Edwards,6,23,WON,95,59,140,41,60,46,40,20,,
