Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Bradley Mackay,First,Steve Henry,2,21,LOST,60,60,97,70,121,45,16,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Steve Henry,Second,Bradley Mackay,2,21,WON,140,30,45,97,87,72,30,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Bradley Mackay,Second,Steve Henry,3,24,LOST,25,60,59,17,41,43,41,61,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Steve Henry,First,Bradley Mackay,3,26,WON,58,45,45,59,100,60,44,50,40,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Bradley Mackay,First,Steve Henry,4,22,WON,121,60,45,95,100,23,47,10,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Steve Henry,Second,Bradley Mackay,4,21,LOST,60,44,100,28,85,100,51,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Bradley Mackay,Second,Steve Henry,5,21,LOST,43,97,46,41,85,85,68,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Steve Henry,First,Bradley Mackay,5,23,WON,85,28,140,60,100,68,6,14,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Steve Henry,First,Kieran Parsons,1,30,LOST,43,59,64,100,41,58,88,8,1,7,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Kieran Parsons,Second,Steve Henry,1,30,WON,41,79,43,55,81,15,38,117,16,16,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Steve Henry,Second,Kieran Parsons,2,21,LOST,44,96,41,41,100,59,40,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Kieran Parsons,First,Steve Henry,2,24,WON,140,21,41,43,60,40,85,71,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Steve Henry,First,Kieran Parsons,3,21,WON,46,140,66,60,60,77,52,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Kieran Parsons,Second,Steve Henry,3,18,LOST,69,100,55,30,59,44,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Steve Henry,Second,Kieran Parsons,4,24,LOST,23,43,40,45,81,60,24,61,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/PzQc0HnoMboh,Kieran Parsons,First,Steve Henry,4,26,WON,97,26,43,140,25,46,56,28,40,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,Bradley Mackay,First,George Bamber,1,20,WON,81,60,125,87,44,72,32,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,George Bamber,Second,Bradley Mackay,1,18,LOST,94,82,177,42,90,0,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,Bradley Mackay,Second,George Bamber,2,15,LOST,78,100,59,125,99,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,George Bamber,First,Bradley Mackay,2,18,WON,100,55,92,180,58,16,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,Bradley Mackay,First,George Bamber,3,26,WON,60,140,44,70,42,81,32,7,25,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,George Bamber,Second,Bradley Mackay,3,24,LOST,45,56,180,123,46,33,9,0,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,Bradley Mackay,Second,George Bamber,4,24,LOST,66,45,100,45,95,25,57,64,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,George Bamber,First,Bradley Mackay,4,25,WON,45,60,100,56,100,60,40,30,10,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,Bradley Mackay,First,George Bamber,5,24,WON,26,44,60,60,59,58,140,54,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/oNx9qw0x51Ev,George Bamber,Second,Bradley Mackay,5,21,LOST,57,121,119,34,12,120,0,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Tyla Samson,First,Jaime Message,1,18,WON,140,100,125,38,36,62,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Jaime Message,Second,Tyla Samson,1,15,LOST,7,26,26,41,60,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Tyla Samson,Second,Jaime Message,2,17,WON,100,60,99,54,100,88,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Jaime Message,First,Tyla Samson,2,18,LOST,60,100,21,41,41,41,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Tyla Samson,First,Jaime Message,3,18,WON,100,100,100,100,49,52,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/8B8sNS6OAYAk,Jaime Message,Second,Tyla Samson,3,15,LOST,140,26,22,45,28,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,Teddie Stanford,Second,James Edghill,1,30,LOST,25,29,39,0,33,41,13,37,28,5,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,James Edghill,First,Teddie Stanford,1,32,WON,31,60,46,27,100,55,33,39,78,16,16,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,Teddie Stanford,First,James Edghill,2,36,LOST,40,20,28,29,24,11,34,27,66,25,41,28,,,,
