Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,First,Paul Tudor,1,17,WON,140,134,60,131,0,36,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,First,Kurtis Atkins,2,15,LOST,24,121,140,38,82,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,Second,Paul Tudor,2,14,WON,100,135,132,80,54,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,Second,Kurtis Atkins,3,15,WON,85,100,140,100,76,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,First,Paul Tudor,3,15,LOST,60,83,60,31,43,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,First,Kurtis Atkins,4,21,LOST,60,125,60,60,45,60,51,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,Second,Paul Tudor,4,20,WON,85,58,45,43,100,130,40,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,Second,Kurtis Atkins,5,22,WON,140,45,41,97,43,22,73,40,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,First,Paul Tudor,5,24,LOST,64,84,81,58,47,26,58,34,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,First,Kurtis Atkins,6,24,LOST,26,85,140,60,83,91,8,4,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Kurtis Atkins,Second,Paul Tudor,6,22,WON,60,41,57,140,100,27,56,20,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,Second,Charlie Green,1,12,LOST,95,40,46,99,,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,First,Shane Edwards,1,15,WON,99,140,140,82,40,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,First,Charlie Green,2,17,WON,140,97,180,52,8,24,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,Second,Shane Edwards,2,15,LOST,60,59,45,55,180,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,Second,Charlie Green,3,21,LOST,58,58,59,100,43,55,38,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,First,Shane Edwards,3,23,WON,46,58,22,60,60,45,138,72,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,First,Charlie Green,4,24,WON,100,60,24,100,85,82,30,20,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,Second,Shane Edwards,4,21,LOST,100,100,11,24,46,59,96,,,,
