Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,Second,Andy Ward,3,18,WON,95,57,100,58,133,58,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,Second,Liam Saxon,4,12,LOST,100,44,19,85,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,First,Andy Ward,4,13,WON,180,55,117,109,40,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,First,Liam Saxon,5,20,WON,140,43,77,78,60,85,18,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,Second,Andy Ward,5,18,LOST,100,60,83,96,72,40,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,Second,Liam Saxon,6,25,WON,180,40,41,85,59,56,0,0,40,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,First,Andy Ward,6,27,LOST,43,100,40,100,54,84,60,10,0,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,First,Liam Saxon,7,24,WON,180,57,60,45,44,13,35,67,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,Second,Andy Ward,7,21,LOST,40,96,100,99,58,82,0,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,First,David Buckley,1,15,WON,139,140,94,62,66,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,Second,John Nelson,1,12,LOST,45,97,45,100,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,Second,David Buckley,2,18,LOST,99,134,98,84,39,31,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,First,John Nelson,2,21,WON,100,60,140,96,42,43,20,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,First,David Buckley,3,15,WON,58,140,59,140,104,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,Second,John Nelson,3,12,LOST,123,60,55,99,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,Second,David Buckley,4,15,LOST,45,42,121,81,95,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,First,John Nelson,4,17,WON,96,96,92,96,90,31,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,First,David Buckley,5,18,LOST,68,135,84,44,98,47,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,Second,John Nelson,5,18,WON,85,100,100,100,56,60,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,John Nelson,Second,David Buckley,6,24,LOST,97,97,77,41,49,69,31,30,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/MbonvJFqM9cX,David Buckley,First,John Nelson,6,26,WON,24,60,58,59,60,60,41,43,96,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Alex Hewitson,Second,Ricky Caves,1,12,LOST,60,125,133,60,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Ricky Caves,First,Alex Hewitson,1,14,WON,100,100,140,136,25,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Alex Hewitson,First,Ricky Caves,2,15,LOST,47,100,81,133,41,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Ricky Caves,Second,Alex Hewitson,2,13,WON,100,100,140,137,24,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Alex Hewitson,Second,Ricky Caves,3,18,LOST,60,41,60,81,99,60,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/uayvz3W411O9,Ricky Caves,First,Alex Hewitson,3,20,WON,60,100,60,140,99,26,16,,,,,,,,,,,,,,
