Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,First,Steve Henry,5,18,WON,55,81,100,121,96,48,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,First,Tom Riding,6,22,WON,43,83,140,100,40,55,30,10,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,Second,Steve Henry,6,21,LOST,60,100,81,60,60,60,60,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,Second,Tom Riding,7,18,LOST,99,29,83,26,46,41,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,First,Steve Henry,7,19,WON,80,100,55,125,57,60,24,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,First,Tom Riding,8,18,LOST,140,70,44,100,55,38,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,Second,Steve Henry,8,16,WON,119,180,100,46,16,40,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Edgar Znutins,Second,Shaun Francome,1,21,WON,57,57,60,60,100,99,68,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Shaun Francome,First,Edgar Znutins,1,21,LOST,81,30,60,58,55,59,40,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Edgar Znutins,First,Shaun Francome,2,21,WON,78,83,58,45,139,88,10,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Shaun Francome,Second,Edgar Znutins,2,18,LOST,60,32,100,23,25,55,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Edgar Znutins,Second,Shaun Francome,3,18,WON,43,140,60,45,43,170,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Shaun Francome,First,Edgar Znutins,3,18,LOST,41,26,35,100,62,81,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Edgar Znutins,First,Shaun Francome,4,20,WON,100,25,180,83,93,0,20,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/7YeHaGIhxusd,Shaun Francome,Second,Edgar Znutins,4,18,LOST,45,134,125,81,21,45,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,First,Liam Elliott,1,27,WON,43,60,55,100,81,29,84,9,40,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,Second,Kieran Parsons,1,24,LOST,45,100,43,26,25,58,80,99,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,Second,Liam Elliott,2,22,WON,65,60,60,60,140,40,56,20,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,First,Kieran Parsons,2,24,LOST,100,57,60,57,43,64,56,48,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,First,Liam Elliott,3,24,LOST,100,100,45,45,100,76,0,19,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,Second,Kieran Parsons,3,24,WON,30,45,81,140,60,105,26,14,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,Second,Liam Elliott,4,21,LOST,121,84,26,60,60,43,87,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,First,Kieran Parsons,4,22,WON,51,125,45,46,96,29,93,16,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,First,Liam Elliott,5,24,WON,140,73,85,59,113,0,27,4,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,Second,Kieran Parsons,5,21,LOST,28,40,60,23,100,85,60,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,Second,Liam Elliott,6,24,LOST,41,60,97,83,60,32,74,51,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,First,Kieran Parsons,6,27,WON,100,85,99,66,26,43,0,42,40,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Kieran Parsons,First,Liam Elliott,7,27,WON,95,45,85,42,60,44,43,62,25,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/aN5Hz0LJkPog,Liam Elliott,Second,Kieran Parsons,7,24,LOST,41,81,180,44,40,45,21,21,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,First,Adrian Boier,1,22,WON,80,83,140,41,67,50,20,20,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,Second,Steve Henry,1,21,LOST,100,67,59,17,61,97,40,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,Second,Adrian Boier,2,24,LOST,58,92,100,45,45,28,33,60,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,First,Steve Henry,2,25,WON,44,58,60,96,97,45,13,56,32,
